id,web_name,minutes,goals_scored,assists,expected_goals,expected_assists,xGI,expected_goals_conceded,defensive_contribution_per_90,starts,yellow_cards,red_cards,saves,penalties_missed,goals_conceded,own_goals,clean_sheets,GI,overperformance,highlight
582,Kudus,1128,2,6,1.56,1.84,3.4,18.09,7.42,13,3,0,0,0,16,0,4,8,4.6,False
585,Bentancur,840,1,1,0.34,0.56,0.9,14.13,12.11,10,3,0,0,0,14,0,2,2,1.1,False
586,Bergvall,561,1,2,0.92,0.28,1.2,6.51,8.34,7,1,0,0,0,6,0,2,3,1.8,False
588,Odobert,474,0,1,0.79,0.63,1.42,6.09,5.89,4,0,0,0,0,9,0,0,1,-0.41999999999999993,False
593,P.M.Sarr,693,2,2,0.74,0.45,1.19,12.49,10.52,7,0,0,0,0,7,0,3,4,2.81,False
597,Richarlison,793,5,2,2.29,0.64,2.93,12.35,6.36,8,3,0,0,0,14,0,2,7,4.07,False
673,J.Palhinha,1010,2,2,0.66,0.38,1.04,15.88,11.76,12,3,0,0,0,15,0,3,4,2.96,False
717,Xavi,618,0,1,0.53,0.7,1.23,9.66,8.16,6,2,0,0,0,9,0,2,1,-0.22999999999999998,False
726,Kolo Muani,379,0,0,0.53,0.11,0.64,6.22,5.46,5,1,0,0,0,6,0,1,0,-0.64,False
600,Areola,900,0,1,0.0,0.0,0.0,18.04,0.0,10,0,0,40,0,17,0,0,1,1.0,False
603,Diouf,1215,0,4,0.26,0.81,1.07,22.01,7.19,13,2,0,0,0,27,0,1,4,2.9299999999999997,False
605,Kilman,1083,0,0,0.53,0.21,0.74,21.06,9.06,12,3,0,0,0,25,0,1,0,-0.74,False
606,Mavropanos,675,0,0,0.42,0.06,0.48,11.13,10.67,7,1,0,0,0,12,0,1,0,-0.48,False
609,Todibo,756,0,1,0.05,0.23,0.28,14.49,8.93,9,2,0,0,0,17,0,0,1,0.72,False
610,Wan-Bissaka,831,0,1,0.0,0.42,0.42,16.78,8.01,9,2,0,0,0,21,0,0,1,0.5800000000000001,False
612,L.Paquetá,1042,3,1,1.88,1.27,3.15,16.49,9.41,12,5,1,0,0,24,0,1,4,0.8500000000000001,False
613,Souček,544,2,1,2.28,0.03,2.31,13.0,10.09,6,0,1,0,0,18,0,1,3,0.69,False
614,Ward-Prowse,414,0,0,0.13,0.91,1.04,7.27,4.78,5,0,0,0,0,11,0,1,0,-1.04,False
615,Summerville,639,0,3,0.84,0.46,1.3,11.03,8.31,8,3,0,0,0,13,0,0,3,1.7,False
623,Potts,541,0,0,0.03,0.18,0.21,9.19,10.15,5,0,0,0,0,9,0,0,0,-0.21,False
624,Bowen,1260,3,2,1.93,1.32,3.25,23.48,6.29,14,0,0,0,0,28,0,1,5,1.75,False
625,Füllkrug,407,0,0,0.93,0.21,1.14,8.59,4.2,5,0,0,0,0,11,0,1,0,-1.14,False
659,Walker-Peters,510,1,0,1.1,0.07,1.17,11.11,5.47,5,1,0,0,0,10,0,1,1,-0.16999999999999993,False
671,Wilson,579,4,0,2.7,0.1,2.8,7.84,2.95,6,0,0,0,0,9,0,1,4,1.2000000000000002,False
708,M.Fernandes,895,1,1,0.63,0.9,1.53,14.5,9.25,11,1,0,0,0,15,0,1,2,0.47,False
679,Hermansen,360,0,0,0.0,0.01,0.01,5.44,0.0,4,0,0,9,0,11,0,1,0,-0.01,False
718,S.Magassa,346,1,0,0.28,0.03,0.31,6.28,12.23,4,2,0,0,0,6,0,0,1,0.69,False
627,Johnstone,900,0,0,0.0,0.02,0.02,13.36,0.0,10,0,0,33,0,18,0,0,0,-0.02,False
628,José Sá,360,0,0,0.0,0.03,0.03,6.17,0.0,4,0,0,5,0,11,0,0,0,-0.03,False
631,Agbadou,830,0,0,0.48,0.33,0.81,11.67,9.87,9,0,1,0,0,21,0,0,0,-0.81,False
633,H.Bueno,807,0,0,0.2,1.17,1.37,12.67,6.91,8,1,0,0,0,16,0,1,0,-1.37,False
634,Mosquera,338,0,0,0.1,0.01,0.11,4.55,5.59,4,3,0,0,0,8,1,0,0,-0.11,False
635,R.Gomes,331,1,0,0.95,0.22,1.17,4.3,4.89,4,0,0,0,0,9,0,0,1,-0.16999999999999993,False
636,S.Bueno,664,1,1,0.8,0.46,1.26,11.19,9.35,7,2,0,0,0,16,0,0,2,0.74,False
637,Toti,795,0,0,0.04,0.2,0.24,13.83,7.25,10,1,1,0,0,21,0,0,0,-0.24,False
644,Bellegarde,632,0,0,0.46,0.56,1.02,9.63,7.12,8,1,0,0,0,18,0,1,0,-1.02,False
646,Gomes,1099,0,0,0.63,0.5,1.13,18.05,11.87,12,5,0,0,0,24,0,1,0,-1.13,False
648,Munetsi,872,1,2,1.64,0.38,2.02,13.36,8.26,9,2,0,0,0,19,0,0,3,0.98,False
663,J.Arias,727,0,0,2.78,0.43,3.21,8.78,9.78,9,1,0,0,0,12,0,1,0,-3.21,False
682,Møller Wolfe,402,0,1,0.05,0.73,0.78,6.45,4.7,5,1,0,0,0,10,0,0,1,0.21999999999999997,False
233,Acheampong,348,1,0,0.6,0.04,0.64,7.53,6.21,4,0,0,0,0,5,0,2,1,0.36,False
695,Tchatchoua,777,0,0,0.26,0.68,0.94,12.19,6.37,7,0,0,0,0,19,0,0,0,-0.94,False
709,Krejčí,794,1,1,1.56,1.02,2.58,12.01,7.37,9,1,0,0,0,19,1,0,2,-0.5800000000000001,False
642,Hee Chan,413,1,0,0.76,0.23,0.99,7.77,4.14,5,0,0,0,0,9,0,0,1,0.010000000000000009,False
643,André,973,0,0,0.04,0.33,0.37,16.59,13.23,11,4,0,0,0,20,0,0,0,-0.37,False
654,Strand Larsen,977,1,0,1.73,0.41,2.14,14.35,2.95,11,0,0,0,0,20,0,2,1,-1.1400000000000001,False
